vendor,description,category,date,amount
Metro #858,Fresh produce + pantry items Online,Groceries,2025-03-21,24.6
Farm Boy,Weekly  grocery run Online,Groceries,2025-08-01,70.53
Metro,"Milk,  Eggs,  Bread  London On Ref #3434",Groceries,2025-08-16,99.15
Whole Foods,Fresh produce + pantry items,Groceries,2025-05-23,114.22
No Frills,Snacks and staples Masonville receipt #3015,Groceries,2025-07-13,69.42
No Frills,"Milk,  eggs, bread Online",Groceries,2025-09-03,99.65
Metro #238,Fresh produce + pantry items Store #214,Groceries,2025-10-08,38.39
Metro #359,fresh produce + pantry items,Groceries,2025-01-27,24.1
No Frills,Weekly grocery run Masonville branch #6724,Groceries,2025-09-21,68.74
Farm Boy,Grocery Top-Up,Groceries,2025-01-25,105.48
FreshCo,"Milk, eggs, bread receipt #3439",Groceries,2025-05-25,91.17
Walmart,"Milk, eggs, bread invoice #4621",Groceries,2025-01-23,24.3
FreshCo #645,Weekly  grocery  run Store #214,Groceries,2025-09-27,60.44
Walmart,Weekly Grocery Run Downtown,Groceries,2025-05-01,19.75
Farm Boy,Snacks and staples receipt #7940,Groceries,2025-07-08,109.73
Food Basics #148,Fresh  produce + pantry items Richmond St txn #9981,Groceries,2025-05-08,21.62
Farm Boy,Fresh produce + pantry items,Groceries,2025-06-11,4.53
Loblaws,Weekly grocery run,Groceries,2025-10-08,131.51
Loblaws #229,Weekly grocery run Masonville,Groceries,2025-05-29,37.25
Farm Boy #175,grocery  top-up  student  #6315,Groceries,2025-06-22,31.24
Starbucks,Cold brew,Coffee,2025-03-08,114.16
Tim Hortons #464,Americano Store #214,Coffee,2025-04-10,28.88
Second Cup,Cold brew Downtown,Coffee,2025-03-29,81.81
Starbucks,Cold brew,Coffee,2025-03-09,6.21
Tim Hortons,Mocha ref #8854,Coffee,2025-03-08,21.89
Second Cup,Latte And Pastry Promo #4694,Coffee,2025-05-17,58.64
Tim Hortons,Cappuccino receipt #8538,Coffee,2025-06-21,11.22
Second Cup,Latte  and pastry Campus receipt #5506,Coffee,2025-10-10,119.76
Bridgehead,Cold brew London ON,Coffee,2025-10-05,123.8
Bridgehead #181,Latte And Pastry Masonville,Coffee,2025-01-27,80.0
Balzac's,Cold brew Downtown,Coffee,2025-06-20,103.96
Second Cup,Latte and pastry,Coffee,2025-09-11,44.34
Bridgehead,Cold  brew  branch  #1124,Coffee,2025-08-29,79.03
Coffee Culture,Cappuccino,Coffee,2025-01-20,70.23
Tim Hortons,cappuccino store #214 ref #3697,Coffee,2025-05-13,48.15
Starbucks,Cold brew Campus branch #2164,Coffee,2025-06-06,48.05
Tim Hortons #112,Mocha,Coffee,2025-08-01,130.11
Second Cup,mocha masonville,Coffee,2025-05-04,54.32
Tim Hortons #576,Mocha Downtown,Coffee,2025-09-10,94.39
Bridgehead,cold brew ref #3269,Coffee,2025-05-10,119.79
Toronto Hydro,Monthly Utility Bill Downtown,Utilities,2025-04-10,108.99
Toronto Hydro,Electricity usage Store #214,Utilities,2025-04-04,209.19
Hydro One,Monthly  utility  bill,Utilities,2025-05-24,158.98
Hydro One,gas service charge,Utilities,2025-05-25,163.45
London Hydro,Electric Bill For Apt London On,Utilities,2025-02-14,53.45
London Hydro #630,Electric  bill for apt receipt #6128,Utilities,2025-07-26,45.62
London Hydro,Electric bill for apt,Utilities,2025-07-16,75.25
Alectra Utilities,Electric Bill For Apt Downtown,Utilities,2025-04-24,15.93
Toronto Hydro #884,Gas service charge receipt #5623,Utilities,2025-02-15,154.83
Enbridge Gas,Monthly utility bill student #7206,Utilities,2025-08-22,89.39
London Hydro,Electric bill for apt Richmond St,Utilities,2025-04-17,151.45
Hydro One #361,Monthly utility bill Downtown,Utilities,2025-09-05,157.08
Alectra Utilities #358,Electricity  Usage  Receipt  #4060,Utilities,2025-03-09,169.89
Hydro One #200,electricity usage,Utilities,2025-05-02,49.66
Hydro One,Monthly utility bill,Utilities,2025-03-16,122.93
Toronto Hydro,Monthly Utility Bill Campus,Utilities,2025-09-24,125.23
Enbridge Gas,Gas service charge Masonville,Utilities,2025-05-22,154.58
Hydro One,Electric bill for apt,Utilities,2025-04-10,169.1
Alectra Utilities,Electricity usage Online order #7447,Utilities,2025-06-29,204.78
Hydro One,Electric bill for apt,Utilities,2025-09-09,116.72
GreenLeaf Properties #143,Rent  For  Unit  3B Richmond St,Rent,2025-09-28,1081.65
Dream Properties,Monthly Rent Payment Store #214,Rent,2025-06-06,1091.56
Dream Properties,Apartment Rent Masonville Branch #9667,Rent,2025-02-18,1535.85
Campus Rentals,Monthly Rent Payment Promo #4485,Rent,2025-04-05,1728.09
GreenLeaf Properties #191,Rent for unit 3B Store #214 receipt #4004,Rent,2025-02-24,850.38
Campus Rentals,apartment  rent,Rent,2025-06-25,944.8
Campus Rentals,monthly  rent payment richmond st,Rent,2025-01-27,1710.43
GreenLeaf Properties,Apartment rent receipt #3128,Rent,2025-09-23,1827.92
Campus Rentals,Rent for unit 3B Campus student #6685,Rent,2025-09-28,1465.11
Middlesex Property Mgmt #363,rent for unit 3b masonville,Rent,2025-05-17,1675.68
GreenLeaf Properties,Apartment Rent Online,Rent,2025-04-28,1099.08
Woodland Apartments,Apartment rent invoice #3401,Rent,2025-04-13,855.47
Campus Rentals #370,Rent  for  unit  3B,Rent,2025-10-08,1521.89
Dream Properties,Apartment rent Campus order #2740,Rent,2025-08-13,1683.24
Middlesex Property Mgmt,Rent for unit 3B ref #8736,Rent,2025-04-24,1732.82
GreenLeaf Properties,Rent  for unit 3B,Rent,2025-08-03,1559.6
Middlesex Property Mgmt,Apartment  rent Store #214 promo #7275,Rent,2025-07-17,1132.54
Middlesex Property Mgmt #573,Apartment rent,Rent,2025-01-24,1322.53
Woodland Apartments,Monthly Rent Payment,Rent,2025-04-14,1227.12
Middlesex Property Mgmt,Monthly rent payment Online,Rent,2025-02-17,1021.04
Fido Home #763,monthly internet bill richmond st,Internet,2025-02-26,112.3
Virgin Plus #316,Internet plan charge receipt #3977,Internet,2025-06-01,42.74
Fido Home,Monthly internet bill Online branch #2122,Internet,2025-08-28,47.92
Fido Home,Internet  plan charge,Internet,2025-08-12,94.97
TekSavvy #167,monthly internet bill campus,Internet,2025-03-21,17.72
Bell #376,Monthly internet bill Online,Internet,2025-04-21,77.6
Start.ca,Internet  plan  charge,Internet,2025-04-05,51.37
Start.ca,Modem rental fee Downtown ref #1853,Internet,2025-01-18,127.69
Fido Home,Modem rental fee Store #214,Internet,2025-06-14,201.53
Bell #532,monthly internet bill,Internet,2025-03-25,57.97
Virgin Plus,Internet plan charge Campus,Internet,2025-04-18,66.11
Fido Home,Modem Rental Fee Receipt #7070,Internet,2025-09-02,164.62
Virgin Plus,Monthly internet bill,Internet,2025-02-18,119.84
Virgin Plus #255,modem rental fee promo #3510,Internet,2025-01-18,174.6
Start.ca,Modem rental fee,Internet,2025-08-06,63.52
Rogers #886,monthly internet bill,Internet,2025-05-02,45.18
Virgin Plus,Internet  plan charge,Internet,2025-09-18,191.01
Virgin Plus,Monthly internet bill,Internet,2025-05-14,15.91
Start.ca #641,Modem Rental Fee London On Student #2416,Internet,2025-01-15,17.03
Rogers,monthly internet bill student #1638,Internet,2025-01-24,78.8
Telus Mobility,Mobile  plan  payment  branch #1673,Phone,2025-02-15,122.6
Telus Mobility,Mobile  plan  payment order #6578,Phone,2025-04-08,89.16
Bell Mobility,Device  Financing,Phone,2025-06-04,200.06
Telus Mobility #762,Mobile  plan payment Store #214,Phone,2025-04-08,18.91
Freedom Mobile #273,Data overage fee Online,Phone,2025-07-03,45.7
Bell Mobility #856,Data overage fee,Phone,2025-07-16,189.76
Rogers Wireless #412,Mobile  Plan  Payment,Phone,2025-05-12,201.93
Koodo Mobile #201,Data overage fee London ON order #2771,Phone,2025-06-14,186.42
Bell Mobility,mobile plan payment,Phone,2025-03-04,138.14
Koodo Mobile,Mobile plan payment Masonville ref #5750,Phone,2025-05-14,82.91
Telus Mobility,Data  overage  fee  Masonville receipt #4282,Phone,2025-07-29,63.04
Rogers Wireless,Mobile plan payment txn #7538,Phone,2025-03-09,121.91
Rogers Wireless,Mobile plan payment,Phone,2025-07-12,59.67
Rogers Wireless,Mobile  Plan  Payment  London On,Phone,2025-09-29,115.47
Freedom Mobile #627,Mobile  plan payment Downtown,Phone,2025-03-07,38.27
Bell Mobility #568,Device  financing  Masonville,Phone,2025-09-22,85.73
Koodo Mobile,Data  Overage  Fee Online,Phone,2025-06-26,210.73
Rogers Wireless,Data overage fee,Phone,2025-02-10,141.81
Freedom Mobile,Mobile plan payment,Phone,2025-01-21,217.05
Rogers Wireless,Device financing Campus,Phone,2025-08-07,130.41
Dollarama #723,pens and notebooks receipt #9125,Office Supplies,2025-07-06,37.58
Amazon,Printer  Paper  (500Ct),Office Supplies,2025-09-07,101.61
Amazon,highlighters  +  sticky notes online,Office Supplies,2025-05-29,3.75
Walmart,Pens and notebooks promo #4715,Office Supplies,2025-07-11,40.76
Grand & Toy #568,pens and notebooks downtown,Office Supplies,2025-05-24,53.74
Dollarama,Desk organizer Downtown,Office Supplies,2025-06-12,89.58
Amazon,Desk Organizer Branch #8781,Office Supplies,2025-07-16,44.91
Walmart,Printer paper (500ct) Campus,Office Supplies,2025-01-28,50.77
Grand & Toy,Pens and notebooks ref #6644,Office Supplies,2025-01-31,85.93
Walmart #735,Printer  paper  (500ct) Richmond St promo #7479,Office Supplies,2025-02-25,29.94
Grand & Toy #797,Desk organizer London ON txn #4359,Office Supplies,2025-04-30,19.47
Walmart #129,printer  paper (500ct) txn #4658,Office Supplies,2025-07-08,51.94
Dollarama #597,Highlighters  + Sticky Notes,Office Supplies,2025-10-09,65.89
Dollarama,Desk  organizer  Richmond St,Office Supplies,2025-09-15,87.93
Grand & Toy,Printer Paper (500Ct) London On Branch #3038,Office Supplies,2025-04-21,49.03
Walmart,Highlighters + Sticky Notes,Office Supplies,2025-07-07,97.17
Dollarama #191,Desk  organizer,Office Supplies,2025-09-11,98.49
Amazon,Printer paper (500ct) invoice #9994,Office Supplies,2025-03-25,102.92
Dollarama #709,Printer  paper (500ct) Campus,Office Supplies,2025-03-21,135.89
Grand & Toy,Pens  and  notebooks  Campus,Office Supplies,2025-06-12,55.19
A&W,Lunch  combo  branch #6235,Dining,2025-09-16,57.06
Freshii,Student discount meal student #2462,Dining,2025-07-23,22.19
Chipotle #549,Student discount meal,Dining,2025-10-03,135.76
KFC,Lunch combo branch #5598,Dining,2025-03-25,84.83
A&W #842,meal deal promo #1814,Dining,2025-04-27,5.35
Subway,lunch combo,Dining,2025-07-03,75.61
Kinka Izakaya #779,meal  deal  campus  txn #3791,Dining,2025-03-18,128.93
A&W,Lunch combo Masonville promo #5078,Dining,2025-03-09,25.06
Freshii #820,Dinner With Friends London On,Dining,2025-06-23,17.99
A&W,Lunch combo,Dining,2025-04-18,22.67
Kinka Izakaya,takeout order richmond st,Dining,2025-08-11,115.64
Kinka Izakaya,Meal deal,Dining,2025-08-05,112.17
Chipotle,Lunch combo,Dining,2025-08-23,100.4
KFC #875,Takeout order London ON,Dining,2025-05-09,100.6
Kinka Izakaya,Meal deal Campus,Dining,2025-09-13,49.52
Kinka Izakaya,Takeout order Store #214,Dining,2025-04-16,36.14
Freshii #592,Student discount meal London ON order #2402,Dining,2025-08-18,57.57
Subway,Lunch combo,Dining,2025-01-16,48.22
KFC,Lunch combo invoice #5698,Dining,2025-01-25,7.63
KFC #858,Student Discount Meal Invoice #8215,Dining,2025-03-17,63.33
Lyft,Ride To Campus Invoice #9274,Transportation,2025-04-16,132.84
UP Express #446,Bus  pass  reload  Richmond St student #2191,Transportation,2025-03-02,16.22
Uber,Airport  ride  Richmond  St,Transportation,2025-04-11,128.47
VIA Rail,bus  pass  reload downtown branch #7618,Transportation,2025-05-05,58.18
Uber,Airport ride promo #4403,Transportation,2025-02-10,38.47
GO Transit #824,commute  to work receipt #8635,Transportation,2025-05-01,54.56
Lyft,Bus  pass reload Richmond St ref #3796,Transportation,2025-09-30,15.05
Uber,bus  pass reload,Transportation,2025-06-17,46.82
VIA Rail,airport ride,Transportation,2025-04-03,7.55
GO Transit,Ride to campus Online invoice #2337,Transportation,2025-04-26,106.41
Uber #655,Bus pass reload,Transportation,2025-05-23,7.6
UP Express #863,Commute to work promo #9625,Transportation,2025-04-22,110.79
GO Transit,Ride to campus,Transportation,2025-02-04,84.43
Lyft,Ride  to  campus London ON branch #8070,Transportation,2025-07-01,55.42
Uber,Commute To Work,Transportation,2025-07-02,102.7
GO Transit,ride to campus richmond st,Transportation,2025-07-24,73.51
London Transit #802,Commute  to  work  invoice #8569,Transportation,2025-09-28,12.91
UP Express #766,Airport ride ref #8666,Transportation,2025-02-08,132.31
